subject,topic,subtopic,skill_tags,difficulty,cognitive_level,answer_type,question_text,option_a,option_b,option_c,option_d,correct_answer,numerical_tolerance,solution,explanation,reference
Feedback and Control Systems,Stability Analysis,Relative Stability,relative-stability;routh-shift;second-order,4,analysis,numerical_tolerance,"For the characteristic polynomial $s^2+6s+K$, find the minimum $K$ such that all poles lie strictly to the left of $\operatorname{Re}(s)=-1$.",,,,,5,0.001,"Substituting $s=z-1$: $(z-1)^2+6(z-1)+K=z^2+4z+(K-5)$. Stability in $z$ requires $K-5>0$, so $K>5$.",The shifted-axis test converts a relative-stability question into an ordinary stability question.,
Feedback and Control Systems,Stability Analysis,Relative Stability,relative-stability;routh-shift;third-order;upper-bound,5,analysis,numerical_tolerance,"For the characteristic polynomial $s^3+6s^2+11s+K$, find the upper limit of $K$ such that all poles lie strictly to the left of $\operatorname{Re}(s)=-1$.",,,,,12,0.001,With $s=z-1$: $z^3+3z^2+2z+(K-6)$. Routh requires $K-6>0$ and $[3\cdot2-(K-6)]/3>0\Rightarrow K<12$. The range is $6<K<12$.,Ordinary stability alone would allow $0<K<66$; the shifted requirement is far more restrictive.,
Feedback and Control Systems,Stability Analysis,Relative Stability,pole-test;relative-stability;vertical-line,6,application,multiple_choice_single,A stable system has poles at $-2$ and $-5\pm j3$. Are all poles to the left of the line $\operatorname{Re}(s)=-1$?,"No, one pole is to the right of the line","No, all poles are on the line",Yes,Cannot be determined from pole locations,C,,,,
Feedback and Control Systems,Stability Analysis,Relative Stability,maximum-decay-rate;relative-stability,8,analysis,numerical_tolerance,A system has poles at $-1$ and $-3\pm j4$. What is the largest positive value of $\sigma$ such that all poles satisfy $\operatorname{Re}(s)\le-\sigma$?,,,,,1,0.005,,,
Feedback and Control Systems,Stability Analysis,Relative Stability,gain-range;relative-stability;routh-shift,10,analysis,multiple_choice_single,"For $s^3+5s^2+8s+K$, what range of $K$ places all poles strictly to the left of $\operatorname{Re}(s)=-1$?",$0<K<4$,$4<K<6$,$K>6$,$-6<K<-4$,B,,,,
Feedback and Control Systems,Steady-State Error,Concept of Steady-State Error,definition;steady-state-error,1,recall,text_short,What term describes the value that the error signal approaches as $t\to\infty$?,,,,,steady state error|steady-state error|steady state error ess|ess|e_ss,,"By definition $e_{ss}=\lim_{t\to\infty}e(t)$, the residual error remaining after all transients have decayed.","It measures accuracy, in contrast to overshoot and settling time which measure transient quality.",
Feedback and Control Systems,Steady-State Error,Concept of Steady-State Error,definition;steady-state-error,2,recall,multiple_choice_single,What is the steady-state error $e_{ss}$?,$e(0^+)$,$de(t)/dt$ at $t=0$,The maximum output value,$\lim_{t\to\infty} e(t)$,D,,"The steady-state error of a control system is defined as the difference between the desired input and the actual output as time approaches infinity. Mathematically, for an error signal $e(t)$, the steady-state error is given by  

$$e_{ss} = \lim_{t\to\infty} e(t).$$

This matches choice D.

The other options are incorrect: $e(0^+)$ is the initial error, $\frac{de(t)}{dt}$ at $t=0$ is the initial rate of change of error, and the maximum output value is unrelated to steady-state error.

Thus, the correct answer is **D**. $\lim_{t\to\infty} e(t)$.",,
Feedback and Control Systems,Steady-State Error,Concept of Steady-State Error,measurement;steady-state-error;tracking,2,comprehension,numerical_tolerance,A position-control system is commanded to 10.0 cm and settles at 9.7 cm. Find the magnitude of the steady-state error in cm.,,,,,0.3,1%,$|e_{ss}|=|10.0-9.7|=0.3$ cm.,"The error is the difference between command and final output, not the output itself.",
Feedback and Control Systems,Steady-State Error,Concept of Steady-State Error,position-constant;steady-state-error;step-input,3,application,numerical_tolerance,A stable unity-feedback system has position error constant $K_p=24$. Find its steady-state error to a unit-step input.,,,,,0.04,0.001,$e_{ss}=1/(1+K_p)=1/25=0.04$.,"The $1+$ in the denominator applies only to the step/position case, not to ramp or parabolic inputs.",
Feedback and Control Systems,Steady-State Error,Concept of Steady-State Error,steady-state-error;tracking,4,comprehension,multiple_choice_single,A position-control system settles at 9.8 cm for a 10 cm command. What is the steady-state tracking error?,0.2 cm,9.8 cm,10 cm,19.8 cm,A,,"The steady-state tracking error is the difference between the commanded input and the final settled output.

Given:
- Command (desired position) = $10 \text{ cm}$
- Final settled position = $9.8 \text{ cm}$

The error is:
$$ \text{Error} = \text{Command} - \text{Output} = 10 \text{ cm} - 9.8 \text{ cm} = 0.2 \text{ cm}$$

Thus, the steady-state tracking error is $0.2$ cm, corresponding to choice **A**.",,
Feedback and Control Systems,Steady-State Error,Concept of Steady-State Error,steady-state-error;step-input;type-zero,4,analysis,numerical_tolerance,A unity-feedback system has $G(s)=50/(s+5)$. Find its steady-state error to a unit-step input.,,,,,0.090909091,0.001,"$K_p=\lim_{s\to0}G(s)=50/5=10$, so $e_{ss}=1/(1+10)=0.0909$.",Using $K_p=50$ (forgetting to divide by the pole term) would wrongly give 0.0196.,
Feedback and Control Systems,Steady-State Error,Concept of Steady-State Error,stability-prerequisite;steady-state-error,5,evaluation,text_short,Steady-state error formulas based on static error constants are meaningful only if the closed-loop system has which property?,,,,,stable|stability|it must be stable|closed-loop stability|asymptotically stable|bibo stable,,"If the closed loop is unstable the error grows without bound and no finite limit exists, so the error constants say nothing useful.",This is why stability must be confirmed before any error calculation is trusted.,
Feedback and Control Systems,Steady-State Error,Concept of Steady-State Error,steady-state-error;transient-vs-steady-state,6,analysis,multiple_choice_single,Which modification can reduce transient error without necessarily eliminating steady-state error?,Adding an ideal integrator in every case,Removing the controller,Changing damping and bandwidth while leaving low-frequency loop gain finite,Forcing the reference to zero,C,,"The problem asks for a modification that reduces **transient error** but does **not** guarantee the elimination of **steady-state error**.

- **A (Adding an ideal integrator)** increases the system type and reduces or eliminates steady-state error for certain inputs; it also affects transient response, but the primary effect is on steady-state, so it does not fit “without necessarily eliminating steady-state error.”
- **B (Removing the controller)** typically worsens both transient and steady-state performance.
- **C (Changing damping and bandwidth while leaving low-frequency loop gain finite)** directly adjusts the transient response (e.g., overshoot, settling time) without altering the steady-state error because the low-frequency gain remains finite. This is the correct description.
- **D (Forcing the reference to zero)** eliminates the input entirely, trivially removing both transient and steady-state error, but it is not a design modification for an operating system.

Thus, the only option that specifically addresses transient error reduction while leaving steady-state error unchanged is:

**C. Changing damping and bandwidth while leaving low-frequency loop gain finite**",,
Feedback and Control Systems,Steady-State Error,Concept of Steady-State Error,disturbance;steady-state-error;tracking-performance,8,analysis,multiple_choice_single,Why can a system have small command-tracking error but poor disturbance rejection?,Steady-state error is independent of feedback,Tracking and disturbance paths can have different transfer functions and sensitivities,Disturbances never enter a closed-loop system,A stable system rejects every disturbance perfectly,B,,"In a closed-loop system, both command-tracking and disturbance rejection are governed by the feedback structure, but they depend on different transfer functions.

The output is given by

$$Y(s) = \frac{G(s)}{1+G(s)H(s)} R(s) + \frac{G_d(s)}{1+G(s)H(s)} D(s)$$

where $R(s)$ is the reference command, $D(s)$ is the disturbance, $G(s)$ is the forward-path plant, $G_d(s)$ is the disturbance-to-output path, and $H(s)$ is the feedback.

The tracking error $E(s) = R(s) - Y(s)$ for a command is related to the sensitivity function $S(s) = \frac{1}{1+G(s)H(s)}$, while the output due to a disturbance depends on $S(s)$ multiplied by $G_d(s)$. Since $G(s)$ and $G_d(s)$ may be different, and because the sensitivity to parameter variations and the complementary sensitivity can be shaped independently within limits (e.g., by placing zeros), it is possible to achieve small steady-state error for command tracking while having poor rejection of disturbances that enter at different points.

Therefore, the correct choice is B: Tracking and disturbance paths can have different transfer functions and sensitivities.",,
Feedback and Control Systems,Steady-State Error,Concept of Steady-State Error,control-effort;design-tradeoff;steady-state-error,10,evaluation,multiple_choice_single,Which statement best describes a practical steady-state-error design tradeoff?,Steady-state error can only be reduced by decreasing loop gain,Zero error always requires zero control effort,Feedback has no influence on tracking accuracy,Increasing low-frequency gain can reduce error but may affect stability margins and actuator effort,D,,"The correct answer is **D**.

Steady-state error is a measure of the accuracy of a control system in tracking a reference input. Reducing this error often involves increasing the system's open-loop gain, especially at low frequencies. However, this design improvement comes with practical trade-offs: higher gain can reduce stability margins (making the system more oscillatory or even unstable) and may increase the control effort required from the actuator (potentially causing saturation).

**Why the other statements are incorrect:**

- **A:** Steady-state error is reduced by *increasing* low-frequency loop gain, not decreasing it.
- **B:** Zero steady-state error does not necessarily require zero control effort; a system can maintain a constant nonzero control signal to hold a constant output (e.g., a motor driven by a steady voltage to overcome friction).
- **C:** Feedback is essential for improving tracking accuracy; it reduces error compared to an open-loop system.

Thus, the best description of the trade-off is given by **D**.",,
Feedback and Control Systems,Steady-State Error,Final Value Theorem,final-value-theorem;statement,1,recall,text_short,"In the final value theorem, $F(s)$ must be multiplied by which quantity before the limit as $s\to0$ is taken?",,,,,s|by s|the variable s|s itself,,The theorem reads $\lim_{t\to\infty}f(t)=\lim_{s\to0}sF(s)$.,The factor $s$ cancels the pole at the origin that a constant final value implies.,
Feedback and Control Systems,Steady-State Error,Final Value Theorem,final-value-theorem;formula,2,recall,multiple_choice_single,Which expression gives the final value of $f(t)$ when the final value theorem is applicable?,$\lim_{s\to0}sF(s)$,$\lim_{s\to\infty}F(s)$,$\lim_{s\to0}F(s)/s$,$\lim_{s\to\infty}sF(s)$,A,,,,
Feedback and Control Systems,Steady-State Error,Final Value Theorem,final-value-theorem;first-order,2,application,numerical_tolerance,Use the final value theorem to find the final value of the signal whose transform is $F(s)=8/[s(s+4)]$.,,,,,2,0.001,$\lim_{s\to0}sF(s)=\lim_{s\to0}8/(s+4)=8/4=2$.,"The pole at $s=-4$ is in the left-half plane, so the theorem is valid here.",
Feedback and Control Systems,Steady-State Error,Final Value Theorem,final-value-theorem;second-order-denominator,3,application,numerical_tolerance,Use the final value theorem to find the final value of the signal whose transform is $F(s)=(4s+18)/[s(s^2+2s+6)]$.,,,,,3,0.001,$\lim_{s\to0}sF(s)=18/6=3$.,"Both poles of $s^2+2s+6$ lie in the left-half plane, so the limit exists.",
Feedback and Control Systems,Steady-State Error,Final Value Theorem,final-value-theorem;first-order,4,application,numerical_tolerance,Use the final value theorem to find the final value of $F(s)=5/[s(s+2)]$.,,,,,2.5,1%,,,
Feedback and Control Systems,Steady-State Error,Final Value Theorem,closed-loop-error;final-value-theorem;ramp,4,analysis,numerical_tolerance,"A unity-feedback system has $G(s)=40/[s(s+5)]$. Using the final value theorem, find the steady-state error to a unit-ramp input.",,,,,0.125,1%,$E(s)=R(s)/[1+G(s)]$ with $R(s)=1/s^2$. Then $e_{ss}=\lim_{s\to0}sE(s)=\lim_{s\to0}\frac{1/s}{1+40/[s(s+5)]}=\lim_{s\to0}\frac{s+5}{s(s+5)+40}=5/40=0.125$.,Equivalently $K_v=40/5=8$ and $e_{ss}=1/K_v=0.125$.,
Feedback and Control Systems,Steady-State Error,Final Value Theorem,applicability;final-value-theorem;pole-locations,5,analysis,text_short,"For the final value theorem to be valid, where must all poles of $sF(s)$ lie?",,,,,left half plane|left-half plane|left half-plane|LHP|open left half plane|in the left half plane|strictly in the left half plane,,All poles of $sF(s)$ must have negative real parts; otherwise $f(t)$ has a growing or non-decaying oscillatory component and no limit exists.,"Applying the theorem to $F(s)=1/(s^2+4)$ blindly returns 0, but the signal actually oscillates forever.",
Feedback and Control Systems,Steady-State Error,Final Value Theorem,applicability;final-value-theorem;poles,6,comprehension,multiple_choice_single,Which condition is required for the final value theorem?,All zeros of $F(s)$ must lie in the right-half plane,$F(s)$ must be a polynomial,"All poles of $sF(s)$ must lie in the open left-half plane, except possibly a simple pole at the origin already removed by multiplication by $s$",The input must be an impulse,C,,,,
Feedback and Control Systems,Steady-State Error,Final Value Theorem,final-value-theorem;invalid-use;oscillation,8,analysis,multiple_choice_single,Why can the final value theorem not be used to assign a finite final value to $F(s)=1/(s^2+1)$?,The transform has no poles,The corresponding time signal has sustained oscillation and no limit,The signal is identically zero,The denominator order is too low,B,,,,
Feedback and Control Systems,Steady-State Error,Final Value Theorem,closed-loop-error;final-value-theorem,10,analysis,numerical_tolerance,"For a unity-feedback system with $G(s)=10/[s(s+2)]$ and a unit-ramp input, use the final value theorem to find the steady-state error.",,,,,0.2,1%,,,
Feedback and Control Systems,Steady-State Error,"System Type, Standard Test Inputs, and Static Error Coefficients",definition;integrators;system-type,1,recall,text_short,Which feature of the open-loop transfer function determines the system type?,,,,,number of poles at the origin|poles at the origin|number of integrators|integrators|poles at origin|number of pure integrators,,"System type equals the number of poles of $G(s)H(s)$ located at $s=0$, i.e. the number of pure integrators in the loop.","Zeros and finite poles do not affect the type, only the values of the error constants.",
Feedback and Control Systems,Steady-State Error,"System Type, Standard Test Inputs, and Static Error Coefficients",integrators;system-type,2,recall,multiple_choice_single,How is the type of a unity-feedback system determined?,By the number of zeros,By the closed-loop DC gain only,By the input amplitude,By the number of pure integrators in the open-loop transfer function,D,,,,
Feedback and Control Systems,Steady-State Error,"System Type, Standard Test Inputs, and Static Error Coefficients",classification;counting;system-type,2,comprehension,numerical_tolerance,"For $G(s)=K(s+3)/[s^2(s+7)]$ with unity feedback, find the system type.",,,,,2,0,"The factor $s^2$ contributes two poles at the origin, so the system is Type 2.",The zero at $-3$ and pole at $-7$ are irrelevant to the type.,
Feedback and Control Systems,Steady-State Error,"System Type, Standard Test Inputs, and Static Error Coefficients",acceleration-constant;parabolic-input;static-error-coefficients,3,comprehension,text_short,Which static error coefficient governs the steady-state error to a parabolic input?,,,,,acceleration error constant|acceleration constant|Ka|K_a|acceleration error coefficient,,For a parabolic input $e_{ss}=1/K_a$ where $K_a=\lim_{s\to0}s^2G(s)H(s)$.,"Step inputs use $K_p$, ramp inputs $K_v$, and parabolic inputs $K_a$.",
Feedback and Control Systems,Steady-State Error,"System Type, Standard Test Inputs, and Static Error Coefficients",parabolic;ramp;standard-test-inputs;step,4,comprehension,multiple_choice_single,Which Laplace transform represents a unit-ramp input?,$1/s^2$,$1/s$,$2/s^3$,$s$,A,,,,
Feedback and Control Systems,Steady-State Error,"System Type, Standard Test Inputs, and Static Error Coefficients",static-error-coefficients;velocity-constant,4,application,numerical_tolerance,"For $G(s)=24/[s(s+6)]$ with unity feedback, find the velocity error constant $K_v$.",,,,,4,0.001,$K_v=\lim_{s\to0}sG(s)=\lim_{s\to0}24/(s+6)=24/6=4$.,"Multiplying by $s$ first cancels the integrator, leaving a finite limit.",
Feedback and Control Systems,Steady-State Error,"System Type, Standard Test Inputs, and Static Error Coefficients",acceleration-constant;static-error-coefficients;type-two,5,analysis,numerical_tolerance,"For $G(s)=50/[s^2(s+10)]$ with unity feedback, find the acceleration error constant $K_a$.",,,,,5,0.001,$K_a=\lim_{s\to0}s^2G(s)=\lim_{s\to0}50/(s+10)=50/10=5$.,"For this Type 2 system $K_p$ and $K_v$ are both infinite, so only $K_a$ is finite.",
Feedback and Control Systems,Steady-State Error,"System Type, Standard Test Inputs, and Static Error Coefficients",position-constant;static-error-coefficients,6,application,multiple_choice_single,"For unity feedback, which expression defines the position error constant $K_p$?",$\lim_{s\to0}sG(s)$,$\lim_{s\to0}s^2G(s)$,$\lim_{s\to0}G(s)$,$\lim_{s\to\infty}G(s)$,C,,,,
Feedback and Control Systems,Steady-State Error,"System Type, Standard Test Inputs, and Static Error Coefficients",static-error-coefficients;system-type;velocity-constant,8,application,numerical_tolerance,"For $G(s)=20/[s(s+4)]$, find the velocity error constant $K_v$.",,,,,5,0.025,,,
Feedback and Control Systems,Steady-State Error,"System Type, Standard Test Inputs, and Static Error Coefficients",classification;static-error-coefficients;system-type,10,analysis,multiple_choice_single,"For $G(s)=K(s+2)/[s^2(s+5)]$, which statement is correct?","The system is Type 1, so $K_p$ is finite","The system is Type 2, so $K_p$ and $K_v$ are infinite while $K_a$ is finite","The system is Type 0, so all error constants are finite",The system type is determined by the zero at $-2$,B,,,,
Feedback and Control Systems,Steady-State Error,"Steady-State Errors of Type 0, 1, and 2 Systems",step-error;system-type;type-one,1,recall,text_short,What is the steady-state error of a stable Type 1 unity-feedback system to a unit-step input?,,,,,0|zero|nil|none,,"For a Type 1 system $K_p=\lim_{s\to0}G(s)=\infty$, so $e_{ss}=1/(1+K_p)=0$.",One integrator is enough to eliminate constant-input error entirely.,
Feedback and Control Systems,Steady-State Error,"Steady-State Errors of Type 0, 1, and 2 Systems",step-error;system-type;type-zero,2,recall,multiple_choice_single,"For a stable Type 0 unity-feedback system with finite $K_p$, what is the unit-step steady-state error?",$1/K_v$,$1/K_a$,$0$,$1/(1+K_p)$,D,,,,
Feedback and Control Systems,Steady-State Error,"Steady-State Errors of Type 0, 1, and 2 Systems",ramp-error;system-type;type-zero,2,comprehension,text_short,What is the steady-state error of a stable Type 0 unity-feedback system to a unit-ramp input?,,,,,infinite|infinity|unbounded|it is infinite|grows without bound,,"For Type 0, $K_v=\lim_{s\to0}sG(s)=0$, so $e_{ss}=1/K_v\to\infty$.",A system with no integrator cannot track a steadily increasing command at all.,
Feedback and Control Systems,Steady-State Error,"Steady-State Errors of Type 0, 1, and 2 Systems",calculation;step-error;system-type;type-zero,3,application,numerical_tolerance,A unity-feedback system has $G(s)=15/[(s+1)(s+5)]$. Find its steady-state error to a unit-step input.,,,,,0.25,1%,"$K_p=15/(1\times5)=3$, so $e_{ss}=1/(1+3)=0.25$.",Both finite poles contribute to the denominator of $K_p$; using only one gives 1/16 or 1/4 incorrectly.,
Feedback and Control Systems,Steady-State Error,"Steady-State Errors of Type 0, 1, and 2 Systems",ramp-error;system-type;type-one,4,comprehension,multiple_choice_single,"For a stable Type 1 unity-feedback system with finite $K_v$, what is the unit-ramp steady-state error?",$1/K_v$,$1/(1+K_p)$,$1/K_a$,$0$,A,,,,
Feedback and Control Systems,Steady-State Error,"Steady-State Errors of Type 0, 1, and 2 Systems",calculation;ramp-error;system-type;type-one,4,application,numerical_tolerance,A unity-feedback system has $G(s)=36/[s(s+6)]$. Find its steady-state error to a unit-ramp input.,,,,,0.166666667,1%,"$K_v=\lim_{s\to0}sG(s)=36/6=6$, so $e_{ss}=1/6\approx0.1667$.","For a Type 1 system the ramp error is finite and nonzero, unlike the step error which is zero.",
Feedback and Control Systems,Steady-State Error,"Steady-State Errors of Type 0, 1, and 2 Systems",calculation;parabolic-error;system-type;type-two,5,analysis,numerical_tolerance,A unity-feedback system has $G(s)=100/[s^2(s+4)(s+5)]$. Find its steady-state error to the parabolic input $r(t)=t^2/2$.,,,,,0.2,1%,"$K_a=\lim_{s\to0}s^2G(s)=100/(4\times5)=5$, so $e_{ss}=1/K_a=0.2$.","The input $t^2/2$ has transform $1/s^3$, which is the definition matched by $K_a$.",
Feedback and Control Systems,Steady-State Error,"Steady-State Errors of Type 0, 1, and 2 Systems",parabolic-error;system-type;type-two,6,comprehension,multiple_choice_single,"For a stable Type 2 unity-feedback system with finite $K_a$, what is the unit-parabolic steady-state error?",$1/K_v$,$1/(1+K_p)$,$1/K_a$,$\infty$,C,,,,
Feedback and Control Systems,Steady-State Error,"Steady-State Errors of Type 0, 1, and 2 Systems",ramp-error;system-type;type-zero,8,analysis,multiple_choice_single,"For a stable Type 0 unity-feedback system, what is the steady-state error to a unit-ramp input?",$0$,$\infty$,$1/K_v$,$1/(1+K_p)$,B,,,,
Feedback and Control Systems,Steady-State Error,"Steady-State Errors of Type 0, 1, and 2 Systems",comparison;error-table;system-type,10,analysis,multiple_choice_single,"Which statement correctly compares stable Type 0, Type 1, and Type 2 unity-feedback systems?",System type affects only transient overshoot,A Type 0 system always has zero ramp error,A Type 2 system always has infinite step error,Increasing system type improves the class of polynomial inputs that can be tracked with finite or zero steady-state error,D,,,,
Feedback and Control Systems,Steady-State Error,Steady-State Error of Unity Feedback Systems,position-constant;step-error;unity-feedback,1,application,numerical_tolerance,A unity-feedback system has $G(s)=19/(s+1)$. Find its steady-state error to a unit-step input.,,,,,0.05,0.001,"$K_p=19/1=19$, so $e_{ss}=1/(1+19)=0.05$.","Larger loop DC gain gives proportionally smaller step error, but never exactly zero for Type 0.",
Feedback and Control Systems,Steady-State Error,Steady-State Error of Unity Feedback Systems,position-constant;step-error;unity-feedback,2,application,numerical_tolerance,"For a unity-feedback system with $G(s)=9/(s+1)$, find the unit-step steady-state error.",,,,,0.1,0.001,,,
Feedback and Control Systems,Steady-State Error,Steady-State Error of Unity Feedback Systems,ramp-error;unity-feedback;velocity-constant,2,application,numerical_tolerance,A unity-feedback system has $G(s)=25/[s(s+5)]$. Find its steady-state error to a unit-ramp input.,,,,,0.2,1%,"$K_v=25/5=5$, so $e_{ss}=1/5=0.2$.","The integrator makes the step error zero, but the ramp error remains at $1/K_v$.",
Feedback and Control Systems,Steady-State Error,Steady-State Error of Unity Feedback Systems,scaled-ramp;unity-feedback;velocity-constant,3,application,numerical_tolerance,A unity-feedback system has $G(s)=30/[s(s+6)]$ and input $r(t)=2t$. Find the steady-state error.,,,,,0.4,1%,$K_v=30/6=5$. For $r(t)=At$ the error is $A/K_v=2/5=0.4$.,"The error scales linearly with the ramp slope, so the standard $1/K_v$ result must be multiplied by $A$.",
Feedback and Control Systems,Steady-State Error,Steady-State Error of Unity Feedback Systems,ramp-error;unity-feedback;velocity-constant,4,application,numerical_tolerance,"For a unity-feedback system with $G(s)=12/[s(s+3)]$, find the unit-ramp steady-state error.",,,,,0.25,1%,,,
Feedback and Control Systems,Steady-State Error,Steady-State Error of Unity Feedback Systems,error-transfer-function;sensitivity;unity-feedback,4,analysis,text_short,For a unity-feedback system the error-to-reference transfer function is $1/[1+G(s)]$. What is this function commonly called?,,,,,sensitivity function|sensitivity|the sensitivity function|S(s)|error transfer function,,$S(s)=1/[1+G(s)]$ is the sensitivity function; it maps reference (and output disturbance) to error.,Making $|S|$ small at low frequency is exactly what reduces steady-state error.,
Feedback and Control Systems,Steady-State Error,Steady-State Error of Unity Feedback Systems,ramp-error;unity-feedback;zero-in-numerator,5,analysis,numerical_tolerance,A unity-feedback system has $G(s)=10(s+2)/[s(s+5)]$. Find its steady-state error to a unit-ramp input.,,,,,0.25,1%,"$K_v=\lim_{s\to0}sG(s)=10\times2/5=4$, so $e_{ss}=1/4=0.25$.","The finite zero raises $K_v$ by the factor 2, so ignoring the numerator zero would give 0.5.",
Feedback and Control Systems,Steady-State Error,Steady-State Error of Unity Feedback Systems,acceleration-constant;parabolic-error;unity-feedback,6,application,numerical_tolerance,"For a unity-feedback system with $G(s)=20/[s^2(s+4)]$, find the unit-parabolic steady-state error.",,,,,0.2,1%,,,
Feedback and Control Systems,Steady-State Error,Steady-State Error of Unity Feedback Systems,error-transfer-function;unity-feedback,8,analysis,multiple_choice_single,"For a unity negative-feedback system, which transfer function relates error to reference?",$E(s)/R(s)=1/[1+G(s)]$,$E(s)/R(s)=G(s)/[1+G(s)]$,$E(s)/R(s)=1-G(s)$,$E(s)/R(s)=1/G(s)$,A,,,,
Feedback and Control Systems,Steady-State Error,Steady-State Error of Unity Feedback Systems,scaled-ramp;steady-state-error;unity-feedback,10,analysis,numerical_tolerance,A unity-feedback Type 1 system has $K_v=8$. Find the steady-state error for the ramp input $r(t)=3t$.,,,,,0.375,1%,,,
Feedback and Control Systems,Steady-State Error,Steady-State Error of Non-Unity Feedback Systems,actuating-error;non-unity-feedback;terminology,1,recall,text_short,"In a non-unity-feedback system, what name is given to the error signal that actually appears at the summing junction?",,,,,actuating error|actuating error signal|actuating signal|the actuating error,,"The summing junction forms $e=r-b$, where $b=Hc$ is the measured feedback signal; this is the actuating error.",It differs from the tracking error $r-c$ whenever $H\ne1$.,
Feedback and Control Systems,Steady-State Error,Steady-State Error of Non-Unity Feedback Systems,error-signal;non-unity-feedback,2,recall,multiple_choice_single,"For negative feedback with forward path $G(s)$ and feedback $H(s)$, what is $E(s)/R(s)$ for the actuating error at the summing junction?",$G(s)/[1+G(s)H(s)]$,$H(s)/[1+G(s)]$,$1/[1+G(s)H(s)]$,$1-G(s)H(s)$,C,,,,
Feedback and Control Systems,Steady-State Error,Steady-State Error of Non-Unity Feedback Systems,error-determination;loop-gain;non-unity-feedback,2,comprehension,text_short,"For negative feedback with forward path $G$ and feedback path $H$, which product appears in the denominator $1+(\cdot)$ of the actuating-error transfer function?",,,,,GH|G(s)H(s)|GH(s)|loop gain|G*H|the loop gain GH,,"$E(s)/R(s)=1/[1+G(s)H(s)]$, so the loop gain $GH$ sets the error.",Using $G$ alone is the unity-feedback special case where $H=1$.,
Feedback and Control Systems,Steady-State Error,Steady-State Error of Non-Unity Feedback Systems,actuating-error;non-unity-feedback;step-input,3,application,numerical_tolerance,"A negative-feedback system has constant gains $G=9$ and $H=0.5$. For a unit-step reference, find the steady-state actuating error $e=r-b$.",,,,,0.181818182,1%,$e=1/(1+GH)=1/(1+4.5)=1/5.5\approx0.1818$.,"The loop gain is 4.5, not 9, because the sensor gain scales the feedback signal.",
Feedback and Control Systems,Steady-State Error,Steady-State Error of Non-Unity Feedback Systems,closed-loop-transfer;non-unity-feedback,4,comprehension,multiple_choice_single,"For the same system, what is $C(s)/R(s)$?",$1/[1+G(s)H(s)]$,$G(s)/[1+G(s)H(s)]$,$G(s)H(s)$,$H(s)/[1+G(s)]$,B,,,,
Feedback and Control Systems,Steady-State Error,Steady-State Error of Non-Unity Feedback Systems,non-unity-feedback;step-input;tracking-error,4,analysis,numerical_tolerance,"A negative-feedback system has constant gains $G=9$ and $H=0.5$. For a unit-step reference, find the steady-state tracking error $r-c$.",,,,,-0.636363636,1%,"$c=G/(1+GH)=9/5.5=1.6364$, so $r-c=1-1.6364=-0.6364$.",The tracking error is negative because the sensor gain $H<1$ makes the loop overshoot the command in absolute terms.,
Feedback and Control Systems,Steady-State Error,Steady-State Error of Non-Unity Feedback Systems,actuating-error;dynamic-plant;non-unity-feedback,5,analysis,numerical_tolerance,"A negative-feedback system has $G(s)=20/(s+2)$ and $H=0.5$. For a unit-step reference, find the steady-state actuating error.",,,,,0.166666667,1%,"$G(0)H=(20/2)(0.5)=5$, so $e_{ss}=1/(1+5)=1/6\approx0.1667$.","Only the DC value of the loop gain matters at steady state, so $G(0)H$ is evaluated first.",
Feedback and Control Systems,Steady-State Error,Steady-State Error of Non-Unity Feedback Systems,actuating-error;non-unity-feedback;step-input,6,application,numerical_tolerance,"A negative-feedback system has constant gains $G=4$ and $H=0.5$. For a unit-step reference, find the steady-state actuating error $e=r-b$.",,,,,0.333333333,1%,,,
Feedback and Control Systems,Steady-State Error,Steady-State Error of Non-Unity Feedback Systems,non-unity-feedback;step-input;tracking-error,8,analysis,numerical_tolerance,"A negative-feedback system has constant gains $G=4$ and $H=0.5$. For a unit-step reference, find the steady-state tracking error $r-c$.",,,,,-0.333333333,1%,,,
Feedback and Control Systems,Steady-State Error,Steady-State Error of Non-Unity Feedback Systems,non-unity-feedback;sensor-calibration;tracking-error,10,evaluation,multiple_choice_single,Why must actuating error and tracking error be distinguished in a non-unity-feedback system?,They are always numerically identical for every $H(s)$,Tracking error is defined only for open-loop systems,Actuating error cannot be measured,"The summing-junction error compares the reference with the measured feedback signal, not necessarily with the output itself",D,,,,
Feedback and Control Systems,Steady-State Error,Design for Steady-State Error Specifications,gain-selection;steady-state-error-design;step,1,application,numerical_tolerance,A unity-feedback system has $G(s)=K/(s+4)$. Find the minimum $K$ for which the unit-step steady-state error is no greater than $0.05$.,,,,,76,0.001,"$K_p=K/4$ and $e_{ss}=1/(1+K/4)\le0.05$ requires $1+K/4\ge20$, so $K\ge76$.","Dropping the $1+$ term gives $K=80$, which meets the specification but is not the minimum required.",
Feedback and Control Systems,Steady-State Error,Design for Steady-State Error Specifications,gain-selection;steady-state-error-design;step,2,application,numerical_tolerance,A Type 0 unity-feedback system has $G(s)=K/(s+2)$. Find the minimum $K$ required for unit-step steady-state error no greater than 0.10.,,,,,18,0.09,,,
